feature,importance
win_rate_pct,0.3544867880584706
max_drawdown_pct,0.1786131417164203
trades,0.13881821155750634
sector_Utilities,0.06627386404087379
sector_Real_Estate,0.03451227552773214
sector_Industrials,0.02437559104576457
sector_Healthcare,0.020575587025757718
asset_ETF,0.01967472103060239
has_profit_targets,0.018982305185148842
sector_Technology,0.018481085786006466
has_pyramiding,0.016887411229780432
sector_Energy,0.015793264236635834
asset_Stock,0.015250977451837603
sector_Financials,0.015181445378100593
sector_Consumer_Disc,0.013301885221819439
has_time_exit,0.00963767081156302
sector_Materials,0.00940717771142301
has_sar,0.009246297340888368
sector_Consumer_Staples,0.0085431360607544
has_filters,0.008226179431251767
sector_Broad_Market,0.0037309841516623334
